patient_id,transaction_id,product_list
63,0,"['Tinctures', 'Jar', 'Live Resin']"
847,1,"['Topicals', 'Edibles']"
513,2,"['Live Resin', 'Edibles', 'Vape']"
475,3,"['Jar', 'Tinctures', 'Tinctures', 'Pre-Rolls']"
126,4,"['Tinctures', 'Topicals', 'Jar']"
371,5,"['Jar', 'Tinctures', 'Flower']"
394,6,"['Edibles', 'Jar', 'Vape', 'Topicals']"
825,7,"['Tinctures', 'Edibles', 'Jar', 'Edibles']"
270,8,"['Tinctures', 'Edibles', 'Edibles']"
773,9,"['Tinctures', 'Live Resin', 'Edibles', 'Flower']"
668,10,"['Flower', 'Live Resin']"
493,11,"['Live Resin', 'Vape']"
545,12,"['Flower', 'Live Resin', 'Vape', 'Flower']"
657,13,['Topicals']
771,14,"['Live Resin', 'Flower', 'Vape', 'Jar']"
236,15,"['Tinctures', 'Edibles', 'Vape']"
493,16,['Topicals']
681,17,"['Tinctures', 'Topicals', 'Live Resin', 'Jar']"
741,18,"['Pre-Rolls', 'Topicals']"
63,19,"['Vape', 'Jar']"
222,20,"['Pre-Rolls', 'Jar', 'Tinctures']"
101,21,"['Edibles', 'Live Resin']"
499,22,"['Topicals', 'Flower']"
326,23,"['Jar', 'Topicals']"
315,24,['Edibles']
234,25,"['Jar', 'Jar']"
543,26,"['Live Resin', 'Edibles', 'Jar']"
17,27,"['Flower', 'Jar', 'Tinctures', 'Tinctures']"
795,28,"['Tinctures', 'Edibles', 'Flower']"
191,29,['Jar']
910,30,['Vape']
453,31,"['Flower', 'Edibles', 'Jar']"
304,32,"['Topicals', 'Flower']"
842,33,['Tinctures']
75,34,"['Tinctures', 'Topicals']"
861,35,"['Tinctures', 'Live Resin', 'Jar']"
309,36,"['Tinctures', 'Topicals', 'Edibles', 'Topicals']"
516,37,['Topicals']
867,38,['Flower']
333,39,['Jar']
723,40,"['Tinctures', 'Flower', 'Edibles', 'Topicals']"
471,41,['Edibles']
688,42,"['Flower', 'Topicals', 'Edibles', 'Flower']"
186,43,['Topicals']
393,44,"['Flower', 'Vape']"
52,45,"['Jar', 'Edibles', 'Jar', 'Flower']"
166,46,['Flower']
577,47,"['Topicals', 'Vape']"
177,48,['Tinctures']
341,49,"['Pre-Rolls', 'Topicals', 'Topicals']"
266,50,"['Flower', 'Tinctures']"
790,51,"['Tinctures', 'Edibles', 'Jar']"
770,52,['Live Resin']
404,53,['Live Resin']
702,54,['Tinctures']
541,55,"['Flower', 'Edibles', 'Pre-Rolls', 'Live Resin']"
413,56,['Edibles']
152,57,"['Edibles', 'Tinctures', 'Vape', 'Edibles']"
915,58,"['Flower', 'Vape', 'Topicals']"
462,59,"['Flower', 'Vape', 'Edibles', 'Topicals']"
191,60,['Edibles']
569,61,"['Live Resin', 'Topicals']"
529,62,"['Vape', 'Live Resin', 'Edibles']"
854,63,"['Jar', 'Live Resin']"
308,64,"['Live Resin', 'Jar', 'Topicals']"
47,65,"['Tinctures', 'Edibles', 'Tinctures', 'Edibles']"
460,66,['Live Resin']
427,67,"['Edibles', 'Jar', 'Edibles']"
439,68,"['Vape', 'Tinctures', 'Vape']"
257,69,['Pre-Rolls']
140,70,"['Flower', 'Edibles', 'Tinctures']"
11,71,['Pre-Rolls']
457,72,"['Pre-Rolls', 'Flower']"
669,73,"['Jar', 'Vape', 'Jar', 'Edibles']"
914,74,"['Topicals', 'Pre-Rolls', 'Pre-Rolls', 'Vape']"
387,75,"['Vape', 'Live Resin', 'Topicals']"
700,76,['Flower']
212,77,"['Pre-Rolls', 'Topicals']"
148,78,"['Edibles', 'Live Resin', 'Topicals', 'Pre-Rolls']"
490,79,"['Jar', 'Topicals', 'Tinctures', 'Flower']"
969,80,['Pre-Rolls']
70,81,['Pre-Rolls']
881,82,"['Live Resin', 'Pre-Rolls', 'Jar', 'Tinctures']"
855,83,"['Pre-Rolls', 'Topicals', 'Vape']"
724,84,"['Live Resin', 'Edibles']"
212,85,"['Vape', 'Jar', 'Jar', 'Vape']"
966,86,"['Jar', 'Pre-Rolls', 'Flower']"
347,87,"['Jar', 'Flower', 'Live Resin']"
214,88,['Flower']
745,89,['Topicals']
562,90,"['Edibles', 'Tinctures', 'Flower']"
991,91,"['Jar', 'Vape', 'Topicals', 'Flower']"
943,92,"['Edibles', 'Flower', 'Flower', 'Jar']"
411,93,"['Flower', 'Topicals', 'Edibles', 'Live Resin']"
488,94,"['Vape', 'Flower']"
428,95,"['Jar', 'Vape', 'Tinctures', 'Edibles']"
709,96,['Pre-Rolls']
142,97,"['Vape', 'Tinctures']"
367,98,"['Vape', 'Vape']"
619,99,"['Vape', 'Topicals']"
129,100,['Topicals']
224,101,"['Pre-Rolls', 'Vape', 'Tinctures', 'Pre-Rolls']"
915,102,"['Flower', 'Flower', 'Topicals']"
542,103,['Flower']
442,104,"['Live Resin', 'Edibles', 'Tinctures']"
740,105,"['Edibles', 'Edibles', 'Tinctures']"
517,106,"['Flower', 'Pre-Rolls', 'Tinctures']"
856,107,"['Live Resin', 'Vape', 'Vape']"
487,108,"['Flower', 'Jar']"
622,109,"['Edibles', 'Pre-Rolls', 'Live Resin']"
54,110,['Live Resin']
417,111,"['Flower', 'Vape']"
918,112,['Edibles']
688,113,['Topicals']
711,114,['Topicals']
31,115,"['Tinctures', 'Topicals', 'Edibles']"
817,116,"['Vape', 'Edibles', 'Topicals']"
270,117,"['Live Resin', 'Jar', 'Live Resin']"
530,118,"['Vape', 'Flower', 'Vape']"
941,119,['Tinctures']
959,120,['Jar']
536,121,"['Pre-Rolls', 'Live Resin']"
403,122,['Tinctures']
606,123,"['Edibles', 'Vape', 'Edibles', 'Tinctures']"
696,124,"['Topicals', 'Tinctures', 'Jar', 'Flower']"
240,125,"['Pre-Rolls', 'Pre-Rolls', 'Pre-Rolls']"
181,126,"['Pre-Rolls', 'Topicals', 'Flower', 'Topicals']"
59,127,"['Flower', 'Jar']"
711,128,"['Flower', 'Topicals', 'Pre-Rolls', 'Vape']"
343,129,"['Flower', 'Jar', 'Edibles', 'Flower']"
799,130,"['Pre-Rolls', 'Jar', 'Live Resin', 'Tinctures']"
380,131,"['Live Resin', 'Topicals']"
797,132,"['Live Resin', 'Flower', 'Edibles']"
241,133,"['Pre-Rolls', 'Vape', 'Live Resin', 'Jar']"
266,134,['Tinctures']
7,135,"['Edibles', 'Topicals', 'Flower', 'Vape']"
356,136,"['Tinctures', 'Flower', 'Topicals']"
808,137,"['Live Resin', 'Jar']"
27,138,"['Jar', 'Topicals']"
704,139,"['Topicals', 'Live Resin', 'Live Resin']"
538,140,"['Pre-Rolls', 'Flower']"
967,141,"['Vape', 'Tinctures', 'Vape']"
855,142,"['Vape', 'Tinctures', 'Topicals']"
619,143,['Flower']
791,144,"['Edibles', 'Live Resin', 'Vape']"
149,145,"['Edibles', 'Pre-Rolls', 'Pre-Rolls']"
486,146,"['Jar', 'Edibles']"
205,147,"['Pre-Rolls', 'Pre-Rolls', 'Live Resin']"
592,148,"['Flower', 'Jar', 'Vape']"
429,149,"['Jar', 'Flower', 'Vape', 'Topicals']"
761,150,"['Pre-Rolls', 'Live Resin']"
86,151,['Tinctures']
980,152,"['Tinctures', 'Vape']"
927,153,"['Topicals', 'Pre-Rolls', 'Vape']"
336,154,"['Edibles', 'Pre-Rolls']"
611,155,"['Jar', 'Tinctures']"
875,156,['Topicals']
461,157,['Vape']
440,158,"['Jar', 'Vape', 'Edibles', 'Live Resin']"
975,159,"['Edibles', 'Live Resin']"
264,160,"['Vape', 'Vape', 'Vape']"
796,161,['Topicals']
10,162,['Jar']
322,163,"['Vape', 'Edibles', 'Pre-Rolls', 'Tinctures']"
197,164,"['Jar', 'Jar']"
699,165,"['Live Resin', 'Flower']"
672,166,"['Tinctures', 'Vape', 'Pre-Rolls', 'Flower']"
756,167,"['Edibles', 'Tinctures']"
330,168,"['Flower', 'Topicals']"
422,169,"['Flower', 'Vape', 'Vape']"
462,170,['Jar']
60,171,['Flower']
755,172,['Tinctures']
486,173,"['Tinctures', 'Pre-Rolls']"
513,174,"['Live Resin', 'Live Resin']"
610,175,['Flower']
903,176,['Flower']
475,177,['Vape']
512,178,"['Jar', 'Edibles', 'Jar']"
728,179,"['Vape', 'Pre-Rolls']"
348,180,"['Topicals', 'Live Resin', 'Edibles', 'Pre-Rolls']"
353,181,"['Topicals', 'Flower', 'Live Resin']"
261,182,"['Tinctures', 'Flower']"
163,183,"['Pre-Rolls', 'Tinctures', 'Vape']"
447,184,"['Edibles', 'Jar']"
871,185,"['Live Resin', 'Edibles', 'Topicals', 'Pre-Rolls']"
79,186,"['Topicals', 'Live Resin', 'Topicals', 'Tinctures']"
601,187,"['Flower', 'Edibles', 'Topicals', 'Pre-Rolls']"
722,188,"['Edibles', 'Edibles']"
884,189,"['Live Resin', 'Jar', 'Jar', 'Jar']"
29,190,"['Flower', 'Pre-Rolls', 'Vape']"
248,191,"['Jar', 'Edibles', 'Vape', 'Flower']"
