transaction_id,date,product_id,category,price,quantity,store_ids,total_amount
0,2024-11-23,162,Flower,12.38,2,101,24.76
1,2024-02-27,120,Vape,89.73,1,105,89.73
2,2024-01-13,108,Live Resin,94.53,7,105,661.71
3,2024-05-20,161,Edibles,45.23,2,100,90.46
4,2024-05-05,140,Topicals,54.62,4,101,218.48
5,2024-04-24,129,Live Resin,52.13,4,104,208.52
6,2024-03-12,141,Vape,23.76,10,103,237.60
7,2024-02-22,134,Live Resin,62.29,5,101,311.45
8,2024-12-12,105,Edibles,63.97,4,100,255.88
9,2024-10-06,163,Live Resin,31.29,10,99,312.90
10,2024-02-14,127,Tinctures,33.23,5,101,166.15
11,2024-10-29,147,Tinctures,94.32,6,102,565.92
12,2024-08-04,150,Tinctures,89.95,8,99,719.60
13,2024-01-17,129,Vape,81.09,1,99,81.09
14,2024-01-16,109,Edibles,51.96,4,99,207.84
15,2024-02-17,157,Edibles,41.44,10,102,414.40
16,2024-04-21,155,Jar,61.30,5,102,306.50
17,2024-04-29,156,Flower,85.01,4,103,340.04
18,2024-09-15,110,Vape,17.70,9,103,159.30
19,2024-11-04,162,Pre-Rolls,14.15,1,99,14.15
20,2024-01-14,156,Jar,39.57,5,104,197.85
21,2024-10-14,139,Topicals,81.85,1,99,81.85
22,2024-04-11,114,Tinctures,82.68,4,102,330.72
23,2024-11-28,162,Topicals,71.45,3,103,214.35
24,2024-12-25,101,Live Resin,30.23,6,102,181.38
25,2024-10-06,112,Edibles,32.04,4,105,128.16
26,2024-08-02,150,Vape,29.05,8,103,232.40
27,2024-04-22,151,Live Resin,53.18,7,99,372.26
28,2024-08-17,103,Edibles,35.35,6,99,212.10
29,2024-10-28,99,Pre-Rolls,38.54,8,103,308.32
30,2024-05-22,110,Tinctures,46.83,7,102,327.81
31,2024-01-04,137,Edibles,27.18,10,104,271.80
32,2024-03-22,164,Pre-Rolls,61.34,3,102,184.02
33,2024-12-23,125,Jar,59.54,8,102,476.32
34,2024-08-04,157,Jar,40.51,8,101,324.08
35,2024-06-23,142,Jar,13.77,9,99,123.93
36,2024-05-22,145,Tinctures,95.39,10,105,953.90
37,2024-03-20,105,Tinctures,63.69,5,104,318.45
38,2024-04-20,127,Topicals,66.44,4,100,265.76
39,2024-06-21,157,Edibles,48.57,2,102,97.14
40,2024-02-22,141,Topicals,37.39,10,103,373.90
41,2024-02-17,159,Edibles,51.37,2,101,102.74
42,2024-07-13,145,Edibles,94.95,1,104,94.95
43,2024-02-19,156,Edibles,48.77,1,104,48.77
44,2024-07-02,113,Pre-Rolls,91.60,10,100,916.00
45,2024-06-25,111,Tinctures,80.13,1,104,80.13
46,2024-11-05,127,Edibles,72.69,1,100,72.69
47,2024-05-15,99,Pre-Rolls,84.58,5,104,422.90
48,2024-01-23,142,Vape,11.05,1,100,11.05
49,2024-08-23,144,Pre-Rolls,37.82,5,103,189.10
50,2024-10-01,136,Jar,55.99,8,105,447.92
51,2024-03-04,165,Flower,51.78,7,101,362.46
52,2024-07-12,146,Topicals,41.67,10,101,416.70
53,2024-02-10,112,Flower,96.24,3,103,288.72
54,2024-10-09,104,Tinctures,23.55,2,104,47.10
55,2024-05-30,120,Jar,86.46,1,101,86.46
56,2024-11-17,162,Jar,18.57,6,105,111.42
57,2024-11-12,116,Pre-Rolls,33.42,4,100,133.68
58,2024-07-04,151,Pre-Rolls,15.69,4,99,62.76
59,2024-10-22,112,Vape,55.39,7,99,387.73
60,2024-04-08,131,Tinctures,63.87,6,102,383.22
61,2024-12-26,124,Edibles,84.93,2,102,169.86
62,2024-02-05,123,Jar,23.12,5,102,115.60
63,2024-01-24,114,Flower,40.54,7,102,283.78
64,2024-12-04,149,Live Resin,43.33,1,105,43.33
65,2024-04-26,126,Pre-Rolls,67.76,5,105,338.80
66,2024-05-28,157,Vape,39.36,1,105,39.36
67,2024-02-10,123,Topicals,44.41,2,100,88.82
68,2024-04-29,142,Tinctures,92.63,5,101,463.15
69,2024-02-21,112,Live Resin,77.19,3,101,231.57
70,2024-07-13,152,Live Resin,83.97,5,99,419.85
71,2024-05-22,104,Vape,36.48,8,100,291.84
72,2024-08-20,114,Topicals,72.09,4,100,288.36
73,2024-11-21,156,Vape,54.20,2,104,108.40
74,2024-07-05,157,Flower,45.55,1,101,45.55
75,2024-03-24,163,Pre-Rolls,28.42,8,105,227.36
76,2024-07-08,116,Topicals,35.62,3,99,106.86
77,2024-06-30,162,Edibles,11.00,1,99,11.00
78,2024-04-17,99,Topicals,56.02,2,102,112.04
79,2024-12-09,166,Live Resin,77.34,2,100,154.68
80,2024-05-16,105,Tinctures,19.19,4,102,76.76
81,2024-12-25,154,Live Resin,45.91,8,101,367.28
82,2024-12-15,160,Topicals,50.42,10,101,504.20
83,2024-11-27,164,Jar,43.33,9,100,389.97
84,2024-02-06,121,Flower,89.63,5,102,448.15
85,2024-11-07,121,Pre-Rolls,94.81,5,100,474.05
86,2024-11-21,115,Vape,94.84,1,101,94.84
87,2024-03-28,112,Tinctures,48.13,10,99,481.30
88,2024-09-30,148,Tinctures,87.82,8,102,702.56
89,2024-05-05,140,Flower,17.07,2,103,34.14
90,2024-03-24,163,Vape,53.10,3,101,159.30
91,2024-08-24,148,Live Resin,98.63,4,100,394.52
92,2024-07-13,152,Jar,20.97,2,103,41.94
93,2024-05-18,130,Topicals,28.72,7,99,201.04
94,2024-11-23,134,Vape,11.30,7,104,79.10
95,2024-12-18,149,Flower,28.86,1,100,28.86
96,2024-10-12,142,Jar,70.12,1,104,70.12
97,2024-04-22,136,Pre-Rolls,98.00,8,103,784.00
98,2024-12-16,156,Jar,15.66,7,104,109.62
99,2024-06-15,116,Live Resin,59.70,8,105,477.60
100,2024-01-29,116,Pre-Rolls,49.93,7,100,349.51
101,2024-04-27,151,Jar,60.46,3,100,181.38
102,2024-01-17,164,Jar,42.11,1,105,42.11
103,2024-06-10,137,Edibles,41.55,10,100,415.50
104,2024-07-24,139,Topicals,24.56,1,101,24.56
105,2024-05-17,126,Topicals,42.84,2,101,85.68
106,2024-02-03,124,Tinctures,55.73,5,105,278.65
107,2024-04-18,125,Jar,59.07,5,99,295.35
108,2024-10-17,136,Edibles,50.94,8,99,407.52
109,2024-06-10,143,Vape,51.16,4,99,204.64
110,2024-04-18,115,Pre-Rolls,93.69,5,104,468.45
111,2024-12-01,121,Flower,82.22,1,105,82.22
112,2024-09-12,163,Topicals,76.62,5,99,383.10
113,2024-07-21,168,Live Resin,42.22,4,103,168.88
114,2024-11-25,140,Vape,29.94,4,99,119.76
115,2024-08-22,113,Vape,88.79,8,104,710.32
116,2024-03-14,144,Live Resin,30.57,1,102,30.57
117,2024-05-15,160,Live Resin,15.01,1,105,15.01
118,2024-03-12,152,Topicals,91.01,10,104,910.10
119,2024-05-06,167,Vape,86.66,7,99,606.62
120,2024-10-14,135,Tinctures,87.76,9,101,789.84
121,2024-10-02,153,Tinctures,85.18,8,100,681.44
122,2024-05-14,100,Tinctures,33.64,4,99,134.56
123,2024-10-26,165,Flower,16.94,1,104,16.94
124,2024-08-07,112,Pre-Rolls,89.07,5,105,445.35
125,2024-10-25,102,Edibles,25.67,6,103,154.02
126,2024-07-23,147,Vape,96.82,2,103,193.64
127,2024-07-04,117,Jar,71.98,10,102,719.80
128,2024-04-22,105,Jar,27.16,6,103,162.96
129,2024-03-11,106,Vape,88.87,8,101,710.96
130,2024-09-17,124,Flower,47.68,8,100,381.44
131,2024-09-09,133,Edibles,26.31,9,99,236.79
132,2024-02-16,119,Pre-Rolls,93.68,3,100,281.04
133,2024-01-25,135,Live Resin,98.39,6,99,590.34
134,2024-02-26,131,Vape,94.27,6,99,565.62
135,2024-03-19,117,Flower,17.74,9,102,159.66
136,2024-11-17,106,Edibles,33.15,9,102,298.35
137,2024-03-22,136,Pre-Rolls,85.05,3,102,255.15
138,2024-12-14,125,Jar,19.29,6,100,115.74
139,2024-08-04,168,Vape,77.12,6,105,462.72
140,2024-11-01,103,Jar,73.95,7,100,517.65
141,2024-02-02,144,Tinctures,99.13,3,103,297.39
142,2024-07-16,156,Flower,68.76,10,99,687.60
143,2024-07-14,112,Edibles,34.66,7,101,242.62
144,2024-11-01,127,Tinctures,50.19,6,104,301.14
145,2024-08-27,148,Jar,48.26,8,101,386.08
146,2024-09-27,129,Live Resin,58.57,6,102,351.42
147,2024-05-08,164,Topicals,66.07,5,101,330.35
148,2024-10-10,135,Vape,80.01,3,105,240.03
149,2024-01-06,105,Jar,64.80,8,103,518.40
150,2024-12-14,147,Edibles,79.23,9,103,713.07
151,2024-02-28,148,Live Resin,70.24,7,105,491.68
152,2024-12-15,152,Jar,15.18,6,103,91.08
153,2024-10-01,139,Topicals,91.33,7,102,639.31
154,2024-05-16,105,Live Resin,58.36,2,101,116.72
155,2024-11-24,100,Pre-Rolls,24.77,10,105,247.70
156,2024-06-23,131,Flower,87.75,5,103,438.75
157,2024-02-27,124,Edibles,32.44,3,105,97.32
158,2024-05-30,155,Edibles,85.13,6,100,510.78
159,2024-08-10,127,Edibles,99.95,6,99,599.70
160,2024-03-21,146,Edibles,49.26,8,100,394.08
161,2024-08-20,168,Live Resin,78.47,8,103,627.76
162,2024-01-02,124,Tinctures,91.33,9,104,821.97
163,2024-05-14,123,Flower,61.46,3,103,184.38
164,2024-09-13,136,Live Resin,88.40,1,105,88.40
165,2024-04-01,156,Topicals,19.76,6,102,118.56
166,2024-09-16,121,Edibles,95.18,9,101,856.62
167,2024-02-24,108,Vape,61.70,3,100,185.10
168,2024-11-16,122,Jar,29.88,10,102,298.80
169,2024-06-01,121,Live Resin,37.47,6,99,224.82
170,2024-11-23,164,Jar,26.01,9,100,234.09
171,2024-09-16,114,Topicals,87.57,3,105,262.71
172,2024-11-07,147,Vape,32.76,10,100,327.60
173,2024-04-11,104,Edibles,61.06,3,102,183.18
174,2024-03-19,153,Pre-Rolls,76.50,4,104,306.00
175,2024-07-10,134,Edibles,26.04,7,105,182.28
176,2024-03-23,132,Vape,48.37,2,100,96.74
177,2024-10-03,115,Jar,76.96,7,105,538.72
178,2024-09-28,119,Flower,46.53,2,99,93.06
179,2024-01-01,131,Jar,66.69,9,104,600.21
180,2024-11-02,99,Live Resin,81.59,9,100,734.31
181,2024-06-14,141,Edibles,54.97,1,102,54.97
182,2024-09-07,158,Edibles,47.02,9,101,423.18
183,2024-01-10,118,Tinctures,83.67,2,101,167.34
184,2024-02-27,104,Edibles,38.20,10,103,382.00
185,2024-07-04,118,Vape,28.59,1,100,28.59
186,2024-06-06,140,Vape,36.41,5,99,182.05
187,2024-05-02,105,Flower,76.59,9,101,689.31
188,2024-01-30,137,Live Resin,21.56,3,102,64.68
189,2024-05-03,161,Pre-Rolls,92.61,4,102,370.44
190,2024-10-17,144,Edibles,24.60,6,99,147.60
191,2024-02-10,108,Flower,36.10,8,104,288.80
192,2024-02-13,139,Vape,65.83,2,103,131.66
193,2024-09-05,166,Tinctures,86.53,6,100,519.18
194,2024-02-05,127,Vape,78.77,6,99,472.62
195,2024-09-29,122,Edibles,74.69,9,102,672.21
196,2024-03-05,165,Topicals,86.49,7,99,605.43
